taskset,quantum,avg_turnaround,avg_waiting,avg_response,context_switches
tasks.txt,1,19.25,12.75,1.50,21
tasks.txt,2,18.75,12.25,2.50,12
tasks.txt,4,18.25,11.75,4.50,7
tasks.txt,8,16.25,9.75,8.50,4
tasks.txt,12,15.25,8.75,8.75,3
tasks.txt,14,15.25,8.75,8.75,3
tasks.txt,16,15.25,8.75,8.75,3
tasks.txt,18,15.25,8.75,8.75,3
tasks.txt,20,15.25,8.75,8.75,3
tasks.txt,25,15.25,8.75,8.75,3
tasks.txt,30,15.25,8.75,8.75,3
tasks1.txt,1,3.00,1.00,0.67,3
tasks1.txt,2,3.33,1.33,1.00,3
tasks1.txt,4,3.33,1.33,1.33,2
tasks1.txt,8,3.33,1.33,1.33,2
tasks1.txt,12,3.33,1.33,1.33,2
tasks1.txt,14,3.33,1.33,1.33,2
tasks1.txt,16,3.33,1.33,1.33,2
tasks1.txt,18,3.33,1.33,1.33,2
tasks1.txt,20,3.33,1.33,1.33,2
tasks1.txt,25,3.33,1.33,1.33,2
tasks1.txt,30,3.33,1.33,1.33,2
tasks2.txt,1,50.00,30.00,1.00,49
tasks2.txt,2,50.00,30.00,2.00,24
tasks2.txt,4,48.00,28.00,3.33,12
tasks2.txt,8,48.00,28.00,6.00,7
tasks2.txt,12,48.33,28.33,10.00,5
tasks2.txt,14,50.33,30.33,12.00,5
tasks2.txt,16,45.33,25.33,13.67,4
tasks2.txt,18,46.67,26.67,15.00,4
tasks2.txt,20,36.33,16.33,16.33,2
tasks2.txt,25,36.33,16.33,16.33,2
tasks2.txt,30,36.33,16.33,16.33,2
tasks3.txt,1,11.00,5.75,1.50,15
tasks3.txt,2,10.75,5.50,2.50,8
tasks3.txt,4,11.75,6.50,3.50,5
tasks3.txt,8,13.00,7.75,7.50,4
tasks3.txt,12,13.25,8.00,8.00,3
tasks3.txt,14,13.25,8.00,8.00,3
tasks3.txt,16,13.25,8.00,8.00,3
tasks3.txt,18,13.25,8.00,8.00,3
tasks3.txt,20,13.25,8.00,8.00,3
tasks3.txt,25,13.25,8.00,8.00,3
tasks3.txt,30,13.25,8.00,8.00,3
tasks.txt,4,18.25,11.75,4.50,7
